Gender,School,Track,PUPCET,SHS GPA,GWAcat
0,1,1,115,89.5,3
1,1,1,83,93,3
1,0,0,88,88.5,3
1,0,1,93,90.5,4
1,1,1,81,89.31,5
1,1,1,82,93,4
1,1,1,96,92.88,3
0,1,0,89,93.75,2
0,0,0,92,91,3
1,1,1,85,88.5,4
0,1,1,91,89.75,4
1,0,1,95,89,3
1,0,1,98,95.42,3
0,1,1,89,94,3
0,1,1,89,82,3
0,1,1,100,89,3
0,0,1,64,90,3
1,0,1,78,85,3
0,1,0,98,88.75,2
0,1,1,108,90.5,2
1,0,0,87,91,3
0,1,0,68,91.13,4
1,0,1,79,90,3
0,0,1,88,94,3
0,1,0,95,92.38,2
0,1,1,94,88,3
0,0,1,94,95,2
0,0,1,92,94,2
0,0,1,100,95,2
0,1,1,88,86,3
0,0,1,92,89.47,3
1,0,1,97,82,4
0,1,1,101,92,2
0,0,1,97,95.22,3
0,1,1,92,92,3
0,0,1,88,93,2
1,1,1,88,93,3
0,0,1,92,94,2
0,1,1,83,95,3
0,0,1,91,82,2
0,0,0,84,87.5,3
0,0,1,91,90,2
1,0,1,83,94,2
1,1,1,88,94.75,2
0,0,1,79,83.9,4
1,1,1,86,92,4
0,0,1,80,94,4
0,1,0,83,95,3
0,0,1,89,94,4
0,0,0,88,82,3
1,0,1,83,90,3
0,1,0,88,92,4
0,0,0,96,92,3
0,0,0,92,91,3
0,0,1,91,92.72,3
1,0,1,80,91.5,3
0,0,1,90,82,4
0,1,0,88,91.5,2
0,0,1,84,95,3
0,1,1,91,92.25,2
0,1,1,81,95.71,3
1,1,0,88,94.25,3
0,1,1,84,88,3
0,1,1,100,91,3
0,0,1,84,92,3
0,0,1,88,97,3
1,1,1,97,92.24,4
0,0,1,86,94,3
0,0,1,94,91.45,3
1,0,1,81,89,4
0,1,1,90,91.37,3
0,0,1,81,92.5,3
1,0,1,82,93,3
0,1,1,106,88,3
1,1,0,87,93.6,4
0,1,1,86,89.62,3
0,0,0,118,90,4
0,0,1,87,93,3
1,0,1,97,88,3
0,1,1,73,91,3
1,0,1,93,90,3
0,1,1,84,93.75,3
0,1,1,84,94,3
0,0,1,90,95,2
0,0,1,82,93.5,4
0,1,1,86,93,4
1,0,1,83,94,3
0,0,1,82,94.97,5
0,0,1,81,92,2
1,1,1,82,91,4
0,1,0,90,94.5,3
1,1,1,85,93.62,3
1,0,1,80,94,4
0,1,1,88,89,3
0,1,1,116,96,2
1,1,0,88,94,2
1,0,1,82,88.31,4
0,1,1,100,92,3
1,1,0,85,94,3
1,1,0,86,94.39,2
1,1,1,92,91.33,4
0,1,1,82,95,3
0,0,1,80,91,5
0,0,1,87,93.8,5
0,0,0,85,89,4
1,1,1,90,95,2
1,1,1,90,95.75,3
0,1,1,88,92,3
1,0,0,103,84.5,5
1,0,1,108,82,4
0,1,1,83,94,3
0,0,1,90,84,3
0,1,0,84,95,3
1,1,1,87,91.83,3
0,1,0,84,96,3
0,0,1,83,87.5,3
1,0,1,86,92,3
1,1,1,82,87,5
1,1,1,84,91.25,3
1,1,0,83,90,4
1,0,1,94,95,2
1,0,1,79,82.5,4
0,1,1,101,93.48,4
1,0,1,109,90,4
0,1,1,88,90,3
0,0,1,81,89.38,3
1,1,1,80,94,3
1,1,1,83,87,3
1,0,1,86,93.5,3
1,0,1,83,90,4
1,1,1,83,94.25,3
1,0,1,90,82,3
